name,ingredients,diet,prep_time,cook_time,flavour,dish_type,state,region
Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,40,spicy,starter,gujarat,west
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,20,40,spicy,main course,maharashtra,west
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",vegetarian,10,30,spicy,main course,maharashtra,west
Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,70,30,spicy,starter,maharashtra,west
Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic",vegetarian,20,30,spicy,main course,gujarat,west
Sev tameta,"Sev, ginger, tomato, sugar",vegetarian,20,30,spicy,main course,gujarat,west
Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",vegetarian,10,35,spicy,starter,gujarat,west
Sukhdi,"Whole wheat flour, gur, clarified butter",vegetarian,10,20,sweet,dessert,maharashtra,west
Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",vegetarian,60,10,spicy,starter,maharashtra,west
Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",vegetarian,25,30,spicy,main course,maharashtra,west
Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",vegetarian,25,60,spicy,main course,gujarat,west
Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut",vegetarian,20,30,spicy,main course,maharashtra,west
Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",non vegetarian,10,40,spicy,main course,goa,west
Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",vegetarian,30,6,spicy,starter,gujarat,west
Mag Dhokli,"Moong beans, jaggery, red chillies, oil, salt",vegetarian,27,36,spicy,starter,gujarat,west
Khichu,"Rice flour, sesame seeds, baking soda, peanut oil",vegetarian,5,10,spicy,starter,gujarat,west
Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour",vegetarian,15,30,spicy,starter,gujarat,west
Farsi Puri,"Semolina, clarified butter, oil, white flour, black pepper",vegetarian,27,36,unknown,starter,gujarat,west
Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour",vegetarian,10,20,spicy,starter,gujarat,west
Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas",vegetarian,35,40,spicy,main course,gujarat,west
Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",vegetarian,12,40,sweet,dessert,rajasthan,west
Cheera Doi,"Rice, mango, curd",vegetarian,27,36,sweet,dessert,west bengal,east
Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind",vegetarian,10,30,sweet,dessert,assam,north east
Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",vegetarian,10,20,unknown,main course,assam,north east
Kumol Sawul,"Rice, eggs, carrot, beetroot",non vegetarian,27,36,spicy,main course,assam,north east
Luchi,"Maida, vegetable oil",vegetarian,20,30,unknown,main course,west bengal,east
Alu Pitika,"Potatoes, mustard oil, fish, green chillies",non vegetarian,5,20,spicy,main course,assam,north east
Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil",non vegetarian,15,25,spicy,main course,assam,north east
Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander",vegetarian,27,36,unknown,main course,assam,north east
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",non vegetarian,10,20,unknown,main course,assam,north east
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non vegetarian,25,36,unknown,main course,manipur,north east
Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",vegetarian,27,36,spicy,main course,assam,north east
Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,15,25,unknown,main course,kerala,south
Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",non vegetarian,10,40,spicy,main course,west bengal,east
Goja,"Baking soda, clarified butter, oil, all purpose flour",vegetarian,20,60,sweet,dessert,west bengal,east
Hando Guri,"Jaggery, raisins",vegetarian,27,36,sweet,dessert,assam,north east
Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",non vegetarian,20,40,spicy,main course,assam,north east
Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",non vegetarian,15,30,unknown,main course,west bengal,east
Kabiraji,"Fish fillet, besan, lemon, mint, ginger",non vegetarian,27,36,spicy,main course,west bengal,east
Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",vegetarian,27,36,spicy,main course,assam,north east
Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice",non vegetarian,27,36,spicy,main course,assam,north east
Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",non vegetarian,27,36,spicy,main course,assam,north east
Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",non vegetarian,27,36,spicy,main course,assam,north east
Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",non vegetarian,27,36,spicy,main course,assam,north east
Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins",vegetarian,10,30,sweet,main course,west bengal,east
Pakhala,"Curd, cooked rice, curry leaves, dry chilli",vegetarian,27,36,unknown,main course,odisha,east
Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,10,20,unknown,main course,assam,north east
Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",vegetarian,27,36,sweet,dessert,assam,north east
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",non vegetarian,15,50,spicy,main course,west bengal,east
Red Rice,"Red pepper, red onion, butter, watercress, olive oil",vegetarian,15,36,unknown,main course,kerala,south
Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",vegetarian,10,20,spicy,main course,west bengal,east
Til Pitha,"Glutinous rice, black sesame seeds, gur",vegetarian,5,30,sweet,dessert,assam,north east
Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,20,60,sweet,dessert,goa,west
Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",vegetarian,27,36,sweet,dessert,jammu & kashmir,north
Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",vegetarian,20,45,sweet,dessert,madhya pradesh,central
Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",vegetarian,27,36,sweet,dessert,goa,west
chicken chettinad,"chicken, onion, tomato, pepper, curry leaves, spices, oil",non vegetarian,40,80,spicy,main course,tamil nadu,south
mutton chettinad,"mutton, coconut, onion, garlic, ginger, masala, oil",non vegetarian,45,90,spicy,main course,tamil nadu,south
nattu kozhi kuzhambu,"country chicken, onion, tomato, chili, garlic, oil",non vegetarian,35,80,spicy,main course,tamil nadu,south
meen kuzhambu,"fish, tamarind, onion, tomato, mustard, spices",non vegetarian,30,70,spicy,main course,tamil nadu,south
vanjaram fish fry,"seer fish, chili powder, turmeric, lemon juice, oil",non vegetarian,30,60,spicy,starter,tamil nadu,south
era thokku,"prawn, onion, tomato, pepper, chili, curry leaves",non vegetarian,35,70,spicy,main course,tamil nadu,south
crab masala,"crab, onion, tomato, ginger, garlic, chili powder, oil",non vegetarian,40,90,spicy,main course,tamil nadu,south
kozhi varuval,"chicken, chili, ginger, garlic, onion, curry leaves",non vegetarian,35,75,spicy,starter,tamil nadu,south
kari dosa,"dosa batter, mutton keema, chili, egg, oil",non vegetarian,30,65,spicy,main course,tamil nadu,south
mutton sukka,"mutton, coconut, pepper, chili, curry leaves, oil",non vegetarian,40,85,spicy,main course,tamil nadu,south
egg poriyal,"egg, onion, chili, pepper, curry leaves, oil",non vegetarian,30,60,spicy,starter,tamil nadu,south
egg kothu parotta,"parotta, egg, onion, tomato, chili, oil",non vegetarian,35,70,spicy,main course,tamil nadu,south
chicken kothu parotta,"parotta, chicken, onion, tomato, chili, masala",non vegetarian,40,80,spicy,main course,tamil nadu,south
meen pollichathu,"fish, chili, onion, tomato, coconut, banana leaf",non vegetarian,35,70,spicy,main course,tamil nadu,south
prawn biryani,"prawn, rice, onion, tomato, mint, garam masala",non vegetarian,45,90,spicy,main course,tamil nadu,south
chicken biryani,"chicken, rice, onion, tomato, curd, masala",non vegetarian,40,85,spicy,main course,tamil nadu,south
mutton biryani,"mutton, rice, onion, tomato, curd, spices",non vegetarian,45,95,spicy,main course,tamil nadu,south
pepper chicken masala,"chicken, pepper, onion, garlic, ginger, tomato",non vegetarian,35,80,spicy,main course,tamil nadu,south
mutton chukka,"mutton, onion, pepper, chili, curry leaves",non vegetarian,40,90,spicy,starter,tamil nadu,south
chicken chukka,"chicken, onion, pepper, chili, curry leaves",non vegetarian,35,80,spicy,starter,tamil nadu,south
crab rasam,"crab, tamarind, tomato, garlic, pepper, rasam powder",non vegetarian,30,65,spicy,soup,tamil nadu,south
chicken rasam,"chicken, tamarind, tomato, garlic, chili, rasam powder",non vegetarian,30,65,spicy,soup,tamil nadu,south
nethili fish fry,"anchovy fish, chili powder, turmeric, lemon juice, oil",non vegetarian,30,60,spicy,starter,tamil nadu,south
fish curry,"fish, coconut, turmeric, chili, mustard, curry leaves",non vegetarian,35,70,spicy,main course,tamil nadu,south
shrimp curry,"shrimp, onion, tomato, chili, garlic, coconut",non vegetarian,35,80,spicy,main course,tamil nadu,south
mutton gravy,"mutton, onion, tomato, chili, spices, oil",non vegetarian,45,90,spicy,main course,tamil nadu,south
quail roast,"quail meat, chili, ginger, garlic, onion, oil",non vegetarian,35,70,spicy,starter,tamil nadu,south
chicken 65,"chicken, chili, curd, corn flour, ginger garlic paste, oil",non vegetarian,30,60,spicy,starter,tamil nadu,south
prawn masala,"prawn, onion, tomato, chili, curry leaves, masala",non vegetarian,35,80,spicy,main course,tamil nadu,south
madurai mutton kuzhambu,"mutton, onion, tamarind, chili, garlic, spices",non vegetarian,45,100,spicy,main course,tamil nadu,south
andhra chicken curry,"chicken, onion, tomato, chili, curry leaves, oil",non vegetarian,40,90,spicy,main course,andhra pradesh,south
gongura mutton,"mutton, sorrel leaves, chili, garlic, oil",non vegetarian,45,100,spicy,main course,andhra pradesh,south
royyala iguru,"prawn, onion, chili, tomato, curry leaves",non vegetarian,35,85,spicy,main course,andhra pradesh,south
chepala pulusu,"fish, tamarind, onion, chili, spices",non vegetarian,35,80,spicy,main course,andhra pradesh,south
chicken fry,"chicken, chili, turmeric, lemon, oil",non vegetarian,30,70,spicy,starter,andhra pradesh,south
mutton fry,"mutton, chili, curry leaves, pepper, oil",non vegetarian,35,75,spicy,starter,andhra pradesh,south
prawn fry,"prawn, chili, turmeric, garlic, lemon, oil",non vegetarian,30,70,spicy,starter,andhra pradesh,south
fish fry,"fish, chili powder, turmeric, lemon juice, oil",non vegetarian,30,65,spicy,starter,andhra pradesh,south
kodie pulusu,"chicken, tamarind, onion, tomato, garlic, spices",non vegetarian,40,90,spicy,main course,andhra pradesh,south
egg curry,"egg, onion, tomato, chili, mustard, oil",non vegetarian,30,70,spicy,main course,andhra pradesh,south
chicken handi,"chicken, onion, tomato, spices, oil",non vegetarian,45,85,spicy,main course,gujarat,west
fish fry,"fish, chili powder, turmeric, lemon juice, oil",non vegetarian,35,75,spicy,starter,gujarat,west
egg curry,"egg, onion, tomato, masala, oil",non vegetarian,30,70,spicy,main course,gujarat,west
mutton curry,"mutton, onion, tomato, garlic, ginger, masala",non vegetarian,40,90,spicy,main course,gujarat,west
prawn masala,"prawn, onion, tomato, chili, curry leaves, masala",non vegetarian,35,80,spicy,main course,gujarat,west
chicken biryani,"chicken, rice, onion, tomato, curd, masala",non vegetarian,40,90,spicy,main course,gujarat,west
egg biryani,"egg, rice, onion, tomato, spices",non vegetarian,35,80,spicy,main course,gujarat,west
mutton biryani,"mutton, rice, onion, masala, curd",non vegetarian,45,100,spicy,main course,gujarat,west
crab masala,"crab, onion, tomato, chili, garlic, masala",non vegetarian,40,85,spicy,main course,gujarat,west
chicken kabab,"chicken, yogurt, chili, ginger, garlic, oil",non vegetarian,35,75,spicy,starter,gujarat,west
prawn fry,"prawn, chili, turmeric, garlic, oil",non vegetarian,30,65,spicy,starter,gujarat,west
fish curry,"fish, tamarind, onion, tomato, mustard, spices",non vegetarian,35,85,spicy,main course,gujarat,west
mutton kheema fry,"mutton mince, chili, onion, tomato, masala",non vegetarian,35,80,spicy,starter,gujarat,west
chicken patiala,"chicken, cashew, onion, tomato, butter, cream",non vegetarian,40,90,spicy,main course,gujarat,west
egg roast,"egg, onion, pepper, chili, curry leaves",non vegetarian,30,70,spicy,starter,gujarat,west
chicken ghee roast,"chicken, ghee, chili, garlic, masala",non vegetarian,40,90,spicy,main course,karnataka,south
mangalore fish curry,"fish, coconut, tamarind, chili, curry leaves",non vegetarian,35,80,spicy,main course,karnataka,south
prawn biryani,"prawn, rice, onion, tomato, mint, masala",non vegetarian,40,85,spicy,main course,karnataka,south
kori rotti,"chicken, coconut milk, chili, garlic, spices",non vegetarian,35,75,spicy,main course,karnataka,south
chicken sukka,"chicken, coconut, chili, pepper, curry leaves",non vegetarian,35,80,spicy,main course,karnataka,south
mutton curry,"mutton, onion, tomato, garlic, ginger, masala",non vegetarian,45,95,spicy,main course,karnataka,south
egg curry,"egg, onion, tomato, chili, spices",non vegetarian,30,70,spicy,main course,karnataka,south
fish fry,"fish, chili powder, turmeric, lemon juice, oil",non vegetarian,30,65,spicy,starter,karnataka,south
prawn roast,"prawn, chili, garlic, tomato, masala, oil",non vegetarian,35,75,spicy,starter,karnataka,south
chicken biryani,"chicken, rice, onion, tomato, curd, masala",non vegetarian,40,90,spicy,main course,karnataka,south
kerala fish curry,"fish, coconut milk, tamarind, chili, curry leaves",non vegetarian,35,85,spicy,main course,kerala,south
nadan chicken curry,"chicken, coconut, chili, onion, ginger, garlic",non vegetarian,40,90,spicy,main course,kerala,south
prawn roast,"prawn, chili, pepper, curry leaves, coconut oil",non vegetarian,35,80,spicy,main course,kerala,south
meen pollichathu,"fish, chili, onion, tomato, coconut, banana leaf",non vegetarian,30,75,spicy,main course,kerala,south
mutton stew,"mutton, coconut milk, onion, pepper, cloves",non vegetarian,40,95,spicy,main course,kerala,south
chicken biryani,"chicken, rice, onion, tomato, masala, ghee",non vegetarian,40,90,spicy,main course,kerala,south
kolhapuri chicken,"chicken, chili, garlic, coconut, oil",non vegetarian,40,90,spicy,main course,maharashtra,west
mutton rassa,"mutton, onion, tomato, chili, masala",non vegetarian,45,100,spicy,main course,maharashtra,west
bombil fry,"bombil fish, chili, turmeric, lemon juice, oil",non vegetarian,35,70,spicy,starter,maharashtra,west
prawn curry,"prawn, coconut, tamarind, curry leaves, spices",non vegetarian,35,85,spicy,main course,maharashtra,west
fish curry,"fish, coconut, tamarind, chili, mustard seeds",non vegetarian,35,80,spicy,main course,maharashtra,west
mutton biryani,"mutton, rice, onion, tomato, curd, masala",non vegetarian,40,95,spicy,main course,maharashtra,west
chicken biryani,"chicken, rice, onion, tomato, curd, masala",non vegetarian,40,90,spicy,main course,maharashtra,west
egg curry,"egg, onion, tomato, chili, masala",non vegetarian,30,70,spicy,main course,maharashtra,west
prawn fry,"prawn, chili powder, turmeric, lemon juice, oil",non vegetarian,30,65,spicy,starter,maharashtra,west
bombay duck curry,"fish, tamarind, chili, onion, tomato",non vegetarian,35,85,spicy,main course,maharashtra,west
kolhapuri mutton,"mutton, chili, garlic, coconut, spices",non vegetarian,45,100,spicy,main course,maharashtra,west
chicken sukka,"chicken, coconut, chili, pepper, curry leaves",non vegetarian,35,80,spicy,starter,maharashtra,west
mutton keema pav,"minced mutton, chili, onion, tomato, bread",non vegetarian,40,90,spicy,main course,maharashtra,west
tawa fish fry,"fish, chili, turmeric, garlic, lemon juice, oil",non vegetarian,35,70,spicy,starter,maharashtra,west
kolambi masala,"prawn, onion, tomato, chili, coconut, oil",non vegetarian,35,85,spicy,main course,maharashtra,west
butter chicken,"chicken, butter, tomato, cream, masala",non vegetarian,45,95,spicy,main course,punjab,north
chicken tikka,"chicken, yogurt, chili, ginger, garlic",non vegetarian,40,85,spicy,starter,punjab,north
tandoori chicken,"chicken, yogurt, chili powder, turmeric, oil",non vegetarian,45,90,spicy,starter,punjab,north
fish amritsari,"fish, chili, gram flour, lemon, oil",non vegetarian,35,75,spicy,starter,punjab,north
mutton curry,"mutton, onion, tomato, garlic, ginger, masala",non vegetarian,45,100,spicy,main course,punjab,north
egg curry,"egg, tomato, onion, garlic, masala",non vegetarian,30,70,spicy,main course,punjab,north
chicken biryani,"chicken, rice, onion, tomato, curd, masala",non vegetarian,40,90,spicy,main course,punjab,north
mutton biryani,"mutton, rice, onion, tomato, curd, masala",non vegetarian,45,95,spicy,main course,punjab,north
prawn curry,"prawn, onion, tomato, chili, garlic",non vegetarian,35,80,spicy,main course,punjab,north
chicken keema,"chicken mince, onion, tomato, chili, masala",non vegetarian,40,85,spicy,main course,punjab,north
seekh kabab,"minced mutton, onion, chili, ginger, garlic",non vegetarian,35,75,spicy,starter,punjab,north
mutton seekh kabab,"mutton mince, chili, onion, masala, oil",non vegetarian,40,80,spicy,starter,punjab,north
chicken pakora,"chicken, gram flour, chili, coriander, oil",non vegetarian,30,65,spicy,starter,punjab,north
fish curry,"fish, onion, tomato, chili, mustard, oil",non vegetarian,35,80,spicy,main course,punjab,north
mutton stew,"mutton, onion, tomato, garlic, pepper, clove",non vegetarian,45,95,spicy,main course,punjab,north
chicken masala,"chicken, onion, tomato, chili, garam masala",non vegetarian,40,85,spicy,main course,punjab,north
mutton keema masala,"mutton mince, chili, onion, tomato, oil",non vegetarian,40,90,spicy,main course,punjab,north
egg bhurji,"egg, onion, chili, pepper, tomato, oil",non vegetarian,25,60,spicy,starter,punjab,north
amritsari fish fry,"fish, gram flour, chili, turmeric, lemon",non vegetarian,35,75,spicy,starter,punjab,north
chicken handi,"chicken, onion, tomato, cream, spices",non vegetarian,40,90,spicy,main course,punjab,north
macha besara,"fish, mustard, chili, garlic, turmeric, oil",non vegetarian,35,85,spicy,main course,odisha,east
mutton curry,"mutton, onion, tomato, chili, garlic, ginger",non vegetarian,40,90,spicy,main course,odisha,east
prawn curry,"prawn, mustard, chili, garlic, tomato, onion",non vegetarian,35,80,spicy,main course,odisha,east
crab masala,"crab, onion, tomato, chili, coconut, masala",non vegetarian,40,90,spicy,main course,odisha,east
fish fry,"fish, chili powder, turmeric, lemon juice, oil",non vegetarian,30,70,spicy,starter,odisha,east
mutton biryani,"mutton, rice, onion, tomato, curd, masala",non vegetarian,45,95,spicy,main course,odisha,east
chicken biryani,"chicken, rice, onion, tomato, curd, masala",non vegetarian,40,90,spicy,main course,odisha,east
egg curry,"egg, onion, tomato, chili, garlic, oil",non vegetarian,30,70,spicy,main course,odisha,east
crab fry,"crab, chili, turmeric, curry leaves, oil",non vegetarian,35,75,spicy,starter,odisha,east
chicken roast,"chicken, chili, ginger, garlic, onion, masala",non vegetarian,40,85,spicy,main course,odisha,east
laal maas,"mutton, red chili, garlic, yogurt, oil",non vegetarian,45,95,spicy,main course,rajasthan,west
safed maas,"mutton, yogurt, cream, almond paste, spices",non vegetarian,40,90,spicy,main course,rajasthan,west
tunday kebab,"minced meat, ginger, garlic, chili, spices",non vegetarian,40,85,spicy,starter,uttar pradesh,north
nihari,"mutton, onion, ginger, garlic, slow spices",non vegetarian,45,100,spicy,main course,uttar pradesh,north
chicken korma,"chicken, yogurt, onion, cashew, masala",non vegetarian,40,90,spicy,main course,uttar pradesh,north
mutton korma,"mutton, yogurt, onion, tomato, spices",non vegetarian,45,95,spicy,main course,uttar pradesh,north
biryani,"chicken, rice, onion, tomato, curd, masala",non vegetarian,40,90,spicy,main course,uttar pradesh,north
mutton curry,"mutton, onion, tomato, garlic, ginger, masala",non vegetarian,45,95,spicy,main course,uttar pradesh,north
egg curry,"egg, onion, tomato, chili, garlic, oil",non vegetarian,30,70,spicy,main course,uttar pradesh,north
fish curry,"fish, coconut, tamarind, chili, mustard seeds",non vegetarian,35,80,spicy,main course,uttar pradesh,north
chicken roast,"chicken, chili, ginger, garlic, masala",non vegetarian,40,85,spicy,starter,uttar pradesh,north
seekh kebab,"minced mutton, onion, chili, garlic, oil",non vegetarian,35,80,spicy,starter,uttar pradesh,north
kosha mangsho,"mutton, onion, tomato, garlic, mustard oil, spices",non vegetarian,45,95,spicy,main course,west bengal,east
ilish macher jhol,"hilsa fish, mustard, chili, turmeric, oil",non vegetarian,35,80,spicy,main course,west bengal,east
chingri malai curry,"prawn, coconut milk, onion, ginger, garlic",non vegetarian,40,90,spicy,main course,west bengal,east
dimer dalna,"egg, potato, onion, tomato, spices",non vegetarian,30,75,spicy,main course,west bengal,east
muri ghonto,"fish head, rice, spices, mustard oil",non vegetarian,35,85,spicy,main course,west bengal,east
prawn cutlet,"prawn, bread crumbs, chili, ginger, garlic",non vegetarian,30,70,spicy,starter,west bengal,east
fish fry,"bhetki fish, chili, bread crumbs, lemon juice, oil",non vegetarian,30,65,spicy,starter,west bengal,east
mutton biryani,"mutton, rice, potato, onion, ghee, spices",non vegetarian,45,95,spicy,main course,west bengal,east
chicken curry,"chicken, onion, tomato, chili, mustard oil",non vegetarian,40,90,spicy,main course,west bengal,east
egg roll,"egg, paratha, onion, chili, sauce, oil",non vegetarian,25,60,spicy,starter,west bengal,east
